"Summary_name","Summary_url","Summary_Floor_No","Summary_No_Rooms","Summary_No_Bathrooms","Summary_Area_m2","Summary_Add_ID","Summary_Publishing_Date","Summary_Price_EGP","Summary_Seller_Type","Summary_Price_P_M"
"Apartments For sale in Abd El-Hameed Badawi St.
شارع شارع عبد الحميد بدوي, شيراتون
150 M² 5 3
2,100,000 EGP","https://aqarmap.com.eg/en/listing/3113650-for-sale-cairo-heliopolis-sheraton-abd-el-hameed-badawi-st","4","5","3","2015","EXTRA_SUPER_LUX","Garden","150 M²","Apartments For sale in Abd El-Hameed Badawi St.","23/12/2021"
"Apartment 155 m, main facade, ground floor, private garden, 112.5 m, down payment: 81375 EGP
الحي الأول, بيت الوطن
155 M² 3 3
1,085,000 EGP","https://aqarmap.com.eg/en/listing/3112909-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","Ground","3","3","2023","SEMI_FINISHED","Main Street","155 M²","Apartment 155 m, main facade, ground floor, private garden, 112.5 m, down payment: 81375 EGP","23/12/2021"
"Apartment 170 m, third floor, with a down payment of 89250 EGP, installments over 60 months, receiving 6 months
الحي الأول, بيت الوطن
170 M² 3 3
1,190,000 EGP","https://aqarmap.com.eg/en/listing/3110153-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","3","3","3","2023","SEMI_FINISHED","Main Street","170 M²","Apartment 170 m, third floor, with a down payment of 89250 EGP, installments over 60 months, receiving 6 months","21/12/2021"
"Apartment with Garden For sale in The Second Area - Lotus North
المنطقة الثانية - اللوتس الشمالية, اللوتس الشماليه
165 M² 3 3
1,660,000 EGP","https://aqarmap.com.eg/en/listing/3113293-for-sale-cairo-new-cairo-el-lotus-lotus-south-lmntq-lthny-llwts-lshmly","4","3","3","2020","SEMI_FINISHED","Main Street","165 M²","Apartment with Garden For sale in The Second Area - Lotus North","23/12/2021"
"Book in the new Narges on the Talaat Harb axis, two minutes from the southern 90th Street and the air
النرجس الجديدة, القاهرة الجديدة - التجمع الخامس
167 M² 3 3
1,850,000 EGP","https://aqarmap.com.eg/en/listing/3097735-for-sale-cairo-new-cairo-lnrjs-ljdyd","2","3","3","2021","SEMI_FINISHED","Corner","167 M²","EG-3097735","13/12/2021"
"Apartment with Garden in New Heliopolis 162 M² Semi Finished For Sale
New Heliopolis, New Heliopolis
162 M² 3 3
862,000 EGP","https://aqarmap.com.eg/en/listing/3099507-for-sale-mdyn-lshrwq-compounds-sodic-east","Ground","3","3","2022","SEMI_FINISHED","162 M²","EG-3099507","Apartment with Garden in New Heliopolis 162 M² Semi Finished For Sale","862,000 EGP"
"Apartment with Garden 91 M² Extra super lux In New Capital
كمبوندات أخرى بالعاصمة الإدارية الجديدة, كمبوند بالعاصمة الادارية الجديدة
91 M² 2 2
1,744,000 EGP","https://aqarmap.com.eg/en/listing/3102696-for-sale-cairo-new-administrative-capital-new-capital-compounds-other-compounds-in-new-capital","Ground","2","2","2023","EXTRA_SUPER_LUX","Garden","91 M²","Apartment with Garden 91 M² Extra super lux In New Capital","16/12/2021"
"Apartment 200 m withgarden159,down payment97500EGP
الحي الأول, بيت الوطن
200 M² 3 3
1,300,000 EGP","https://aqarmap.com.eg/en/listing/3111382-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","Ground","3","3","2023","SEMI_FINISHED","Side Street","200 M²","Apartment 200 m withgarden159,down payment97500EGP","22/12/2021"
"Apartments For Sale in Al Andalus 1
الأندلس 1, الأندلس
165 M² 4 2
1,080,000 EGP","https://aqarmap.com.eg/en/listing/3035762-for-sale-cairo-new-cairo-el-andalous-al-andalus-1","4","4","2","2018","SEMI_FINISHED","Main Street","165 M²","Apartments For Sale in Al Andalus 1","03/11/2021"
"Apartment with Garden For Sale in (South Academy (A
جنوب الاكاديميه (أ), جنوب الأكاديمية
280 M² 3 3
2,950,000 EGP","https://aqarmap.com.eg/en/listing/3043409-for-sale-cairo-new-cairo-ganob-el-akadamiya-%28south-academy-%28a","1","3","3","2018","SEMI_FINISHED","Garden","280 M²","Apartment with Garden For Sale in (South Academy (A","06/11/2021"
"Apartments For sale in Al Andalus 1
الأندلس 1, الأندلس
184 M² 4 2
1,380,000 EGP","https://aqarmap.com.eg/en/listing/3070658-for-sale-cairo-new-cairo-el-andalous-al-andalus-1","2","4","2","2018","SEMI_FINISHED","Main Street","184 M²","Apartments For sale in Al Andalus 1","24/11/2021"
"Apartments For Sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
145 M² 3 2
1,180,000 EGP","https://aqarmap.com.eg/en/listing/3024270-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis","5","3","2","2022","SEMI_FINISHED","Main Street","145 M²","EG-3024270","27/10/2021"
"For sale - Duplex 236 M² Semi Finished
كمبوند ايست تاون - سوديك, كمبوند بالتجمع الخامس
236 M² 4 3
5,310,000 EGP","https://aqarmap.com.eg/en/listing/3091750-for-sale-cairo-new-cairo-compounds-eastown","2","4","3","2020","SEMI_FINISHED","Main Street","236 M²","For sale - Duplex 236 M² Semi Finished","09/12/2021"
"Fully finished Apartment with installments over 10 years in Century city New Cairo
كمبوند سنشري سيتي - فينتيج للتطوير, كمبوند بالتجمع الخامس
98 M² 2 2
1,500,000 EGP","https://aqarmap.com.eg/en/listing/3061485-for-sale-cairo-new-cairo-compounds-el-gameyat-century-city-compound-vintage-development","2","2","2","2024","SUPER_LUX","Garden","98 M²","Fully finished Apartment with installments over 10 years in Century city New Cairo","18/11/2021"
"Apartments in Al Andalus 1 184 M² Semi Finished For sale
الأندلس 1, الأندلس
184 M² 3 2
1,380,000 EGP","https://aqarmap.com.eg/en/listing/3102888-for-sale-cairo-new-cairo-el-andalous-al-andalus-1","3","3","2","2019","SEMI_FINISHED","Main Street","184 M²","Apartments in Al Andalus 1 184 M² Semi Finished For sale","16/12/2021"
"Apartments For Sale in Al Andalus 1
الأندلس 1, الأندلس
184 M² 4 2
1,380,000 EGP","https://aqarmap.com.eg/en/listing/3036284-for-sale-cairo-new-cairo-el-andalous-al-andalus-1","3","4","2","2018","SEMI_FINISHED","Main Street","184 M²","Apartments For Sale in Al Andalus 1","03/11/2021"
"Apartments For Sale in Bait El Watan
بيت الوطن, مدينة الشيخ زايد
259 M² 3 3
2,525,000 EGP","https://aqarmap.com.eg/en/listing/3068235-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan","1","3","3","2021","SEMI_FINISHED","Corner","259 M²","EG-3068235","22/11/2021"
"Apartments 259 M² Semi Finished in El Bostan
El Bostan, Seventh Neighborhood
259 M² 3 3
2,500,000 EGP","https://aqarmap.com.eg/en/listing/2922190-for-sale-cairo-el-sheikh-zayed-city-el-hay-elsabeaa-lbstn","3","3","3","2021","SEMI_FINISHED","259 M²","EG-2922190","Apartments 259 M² Semi Finished in El Bostan","2,500,000 EGP"
"Apartments For sale in Dejoya Compound - Taj Misr
كمبوند دي جويا - تاج مصر, كمبوند بالعاصمة الادارية الجديدة
144 M² 3 3
2,037,000 EGP","https://aqarmap.com.eg/en/listing/3094676-for-sale-cairo-new-administrative-capital-new-capital-compounds-dy-jwy","6","3","3","2024","SEMI_FINISHED","Garden","144 M²","Apartments For sale in Dejoya Compound - Taj Misr","11/12/2021"
"Apartments For sale in New Narges
النرجس الجديدة, القاهرة الجديدة - التجمع الخامس
158 M² 3 2
1,216,000 EGP","https://aqarmap.com.eg/en/listing/3108493-for-sale-cairo-new-cairo-lnrjs-ljdyd","1","3","2","2022","SEMI_FINISHED","Corner","158 M²","EG-3108493","20/12/2021"
"Apartments For sale in Akhnaton St.
شارع اخناتون, الحي الخامس
200 M² 3 3
2,200,000 EGP","https://aqarmap.com.eg/en/listing/3112380-for-sale-cairo-new-cairo-el-ahyaa-fifth-neighborhood-akhnaton-st","1","3","3","2009","EXTRA_SUPER_LUX","Corner","200 M²","Apartments For sale in Akhnaton St.","22/12/2021"
"Apartments For sale in Othman Ibn Afan
عثمان ابن عفان, الحي العاشر
190 M² 3 3
1,200,000 EGP","https://aqarmap.com.eg/en/listing/3106004-for-sale-cairo-nasr-city-el-hay-el-asher-othman-ibn-afan","8","3","3","2020","SEMI_FINISHED","Main Street","190 M²","Apartments For sale in Othman Ibn Afan","18/12/2021"
"Direct from Owner
Apartments For Sale in Takseam El Andlos
Takseam El Andlos, New Cairo - Fifth Settlement - Tagamoa
295 M² 4 3
2,400,000 EGP","https://aqarmap.com.eg/en/listing/2959130-for-sale-cairo-new-cairo-el-andalus","4","4","3","2017","EXTRA_SUPER_LUX","Other","295 M²","EG-2959130","12/09/2021"
"For sale - Apartments 197 M² Super lux
أكتوبر الجديدة, أكتوبر الجديدة
197 M² 3 3
5,400,000 EGP","https://aqarmap.com.eg/en/listing/3107128-for-sale-cairo-6th-of-october-new-october-ktwbr-ljdyd","Ground","3","3","SUPER_LUX","Garden","197 M²","EG-3107128","For sale - Apartments 197 M² Super lux","5,400,000 EGP"
"Apartments For sale in The Second Area - Lotus North
المنطقة الثانية - اللوتس الشمالية, اللوتس الشماليه
170 M² 3 3
1,530,000 EGP","https://aqarmap.com.eg/en/listing/3106938-for-sale-cairo-new-cairo-el-lotus-lotus-south-lmntq-lthny-llwts-lshmly","3","3","3","2021","SEMI_FINISHED","Side Street","170 M²","Apartments For sale in The Second Area - Lotus North","19/12/2021"
"Apartment For sale,170M @90th Avenue -New Cairo -Finished
ناينتي أفنيو, كمبوند بالتجمع الخامس
170 M² 3 3
2,040,000 EGP","https://aqarmap.com.eg/en/listing/3086496-for-sale-cairo-new-cairo-compounds-ninety-avenue","Ground","3","3","SUPER_LUX","Garden","170 M²","EG-3086496","Apartment For sale,170M @90th Avenue -New Cairo -Finished","2,040,000 EGP"
"شقة ٢٥٥م بالحي الثالث شرق ع الاوسط مباشرة
Neighbourhood 5, Hai Marbaila - Third Neighborhood East
255 M²
1,350,000 EGP","https://aqarmap.com.eg/en/listing/3090051-for-sale-mdyn-lshrwq-hai-marbaila-third-neighborhood-east-neighbourhood-5","semi_finished","Main Street","255 M²","EG-3090051","08/12/2021","1,350,000 EGP","Agent","شقة ٢٥٥م بالحي الثالث شرق ع الاوسط مباشرة","5,294 EGP/M²"
"Duplex ground and first 415 m with garden 145 m down payment 154068 EGP
الحي الأول, بيت الوطن
415 M² 6 6
2,054,250 EGP","https://aqarmap.com.eg/en/listing/3097767-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","Ground","6","6","2023","SEMI_FINISHED","Side Street","415 M²","Duplex ground and first 415 m with garden 145 m down payment 154068 EGP","13/12/2021"
"Apartments For sale in IL MONDO Compound - Rfco
كمبوند الموندو - رافكو, كمبوند بالعاصمة الادارية الجديدة
180 M² 3 3
2,451,729 EGP","https://aqarmap.com.eg/en/listing/3092064-for-sale-cairo-new-administrative-capital-new-capital-compounds-il-mondo","1","3","3","2020","WITHOUT_FINISH","Main Street","180 M²","Apartments For sale in IL MONDO Compound - Rfco","09/12/2021"
"Apartment with Garden 140 M² For sale in New Narges
النرجس الجديدة, القاهرة الجديدة - التجمع الخامس
140 M² 3 2
1,078,000 EGP","https://aqarmap.com.eg/en/listing/3108599-for-sale-cairo-new-cairo-lnrjs-ljdyd","Ground","3","2","2022","SEMI_FINISHED","Corner","140 M²","EG-3108599","20/12/2021"
"Duplex in El Narges Omarat 312 M² Super lux For sale
النرجس عمارات, النرجس
312 M² 5 2
4,300,000 EGP","https://aqarmap.com.eg/en/listing/3080564-for-sale-cairo-new-cairo-el-narges-el-narges-omarat","1","5","2","2015","SUPER_LUX","Main Street","312 M²","Duplex in El Narges Omarat 312 M² Super lux For sale","01/12/2021"
"For sale apartment 240m second floor down payment 117000 EGP, receipt after 18 months
الحي الأول, بيت الوطن
240 M² 3 3
1,560,000 EGP","https://aqarmap.com.eg/en/listing/3095856-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","2","3","3","2023","SEMI_FINISHED","Side Street","240 M²","For sale apartment 240m second floor down payment 117000 EGP, receipt after 18 months","12/12/2021"
"Apartment 210 m with garden 145 m, down payment of 102375 EGP, installments for 60 months
الحي الأول, بيت الوطن
210 M² 3 3
1,365,000 EGP","https://aqarmap.com.eg/en/listing/3095864-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","Ground","3","3","2023","SEMI_FINISHED","Side Street","210 M²","Apartment 210 m with garden 145 m, down payment of 102375 EGP, installments for 60 months","12/12/2021"
"Apartment 170 m, panorama building, with a down payment of 89.250 EGP, installments over 60 months
الحي الأول, بيت الوطن
170 M² 3 3
1,190,000 EGP","https://aqarmap.com.eg/en/listing/3095944-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","2","3","3","2023","SEMI_FINISHED","Main Street","170 M²","Apartment 170 m, panorama building, with a down payment of 89.250 EGP, installments over 60 months","12/12/2021"
"3 Rooms + Nanny room with a perfect Price- O-west
O west
158 M² 4 4
4,000,000 EGP","https://aqarmap.com.eg/en/listing/3090510-for-sale-cairo-6th-of-october-compounds-w-wyst-wrskwm","2","4","4","SUPER_LUX","Garden","158 M²","EG-3090510","3 Rooms + Nanny room with a perfect Price- O-west","4,000,000 EGP"
"For sale - Apartments 149 M² Super lux
كمبوند فيلدج ويست - درة للتطوير, كمبوند بالشيخ زايد
149 M² 3 3
3,480,000 EGP","https://aqarmap.com.eg/en/listing/3094092-for-sale-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr","Ground","3","3","2023","SUPER_LUX","Garden","149 M²","For sale - Apartments 149 M² Super lux","11/12/2021"
"Apartments For sale in First Neighborhood
الشطر الاول, زهراء المعادي
145 M² 3 2
1,305,000 EGP","https://aqarmap.com.eg/en/listing/3095857-for-sale-cairo-el-maadi-compounds","5","3","2","2024","SEMI_FINISHED","Side Street","145 M²","EG-3095857","12/12/2021"
"Apartments For sale in First Neighborhood
الشطر الاول, زهراء المعادي
126 M² 2 2
1,134,000 EGP","https://aqarmap.com.eg/en/listing/3095848-for-sale-cairo-el-maadi-zahraa-el-maadi-first-neighborhood","8","2","2","2024","SEMI_FINISHED","Main Street","126 M²","Apartments For sale in First Neighborhood","12/12/2021"
"Apartments For sale in First Neighborhood
الشطر الاول, زهراء المعادي
142 M² 3 2
1,278,000 EGP","https://aqarmap.com.eg/en/listing/3095840-for-sale-cairo-el-maadi-zahraa-el-maadi-first-neighborhood","6","3","2","2024","SEMI_FINISHED","Main Street","142 M²","Apartments For sale in First Neighborhood","12/12/2021"
"Apartments For Sale in Al Andalus 1
الأندلس 1, الأندلس
170 M² 4 2
1,105,000 EGP","https://aqarmap.com.eg/en/listing/3059229-for-sale-cairo-new-cairo-el-andalous-al-andalus-1","4","4","2","2018","SEMI_FINISHED","Corner","170 M²","Apartments For Sale in Al Andalus 1","16/11/2021"
"Apartments For sale in Azad Compound - Tameer Arabian
كمبوند أزاد - تعمير, كمبوند بالتجمع الخامس
212 M² 4 3
4,029,000 EGP","https://aqarmap.com.eg/en/listing/3097700-for-sale-cairo-new-cairo-compounds-azad","3","4","3","2020","SEMI_FINISHED","Main Street","212 M²","Apartments For sale in Azad Compound - Tameer Arabian","13/12/2021"
"Apartments For Sale in Bait El Watan
بيت الوطن, مدينة الشيخ زايد
248 M² 3 3
2,480,000 EGP","https://aqarmap.com.eg/en/listing/3052302-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan","3","3","3","2021","SEMI_FINISHED","Corner","248 M²","EG-3052302","11/11/2021"
"Apartments in Bait El Watan 258 M² Semi Finished For Sale
بيت الوطن, مدينة الشيخ زايد
258 M² 3 3
2,580,000 EGP","https://aqarmap.com.eg/en/listing/3048170-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan","2","3","3","2021","SEMI_FINISHED","258 M²","EG-3048170","08/11/2021","2,580,000 EGP"
"Apartments 248 M² For Sale in Bait El Watan
بيت الوطن, مدينة الشيخ زايد
248 M² 3 3
2,400,000 EGP","https://aqarmap.com.eg/en/listing/3068229-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan","3","3","3","2021","SEMI_FINISHED","Corner","248 M²","EG-3068229","22/11/2021"
"For Sale - Apartments 258 M² Semi Finished in Bait El Watan
بيت الوطن, مدينة الشيخ زايد
258 M² 4 3
2,580,000 EGP","https://aqarmap.com.eg/en/listing/3048173-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan","1","4","3","2021","SEMI_FINISHED","258 M²","EG-3048173","08/11/2021","2,580,000 EGP"
"Apartments For Sale in Bait El Watan
بيت الوطن, 6 أكتوبر
275 M² 3 3
2,268,000 EGP","https://aqarmap.com.eg/en/listing/3068224-for-sale-cairo-6th-of-october-bait-el-watan","2","3","3","2022","SEMI_FINISHED","Main Street","275 M²","EG-3068224","22/11/2021"
"For Sale - Apartment with Garden 225 M² Super lux in Bait El Watan
بيت الوطن, مدينة الشيخ زايد
225 M² 2 3
2,700,000 EGP","https://aqarmap.com.eg/en/listing/2902444-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan","Ground","2","3","2021","SUPER_LUX","Corner","225 M²","EG-2902444","26/07/2021"
"Studio for sale at New Cairo near the airport
New Cairo
88 M² 1 1
2,100,000 EGP","https://aqarmap.com.eg/en/listing/3102014-for-sale-cairo-new-cairo-compounds-kmbwnd-kryk-twn-khzm-llttwyr","4","1","1","2024","SUPER_LUX","Garden","88 M²","Studio for sale at New Cairo near the airport","15/12/2021"
"3 rooms apartment for sale at 1st settlement
New Cairo
150 M² 3 3
3,400,000 EGP","https://aqarmap.com.eg/en/listing/3102031-for-sale-cairo-new-cairo-compounds-kmbwnd-kryk-twn-khzm-llttwyr","","","","","","","","",""
