Summary_name,Summary_url,Summary_Floor_No,Summary_No_Rooms,Summary_No_Bathrooms,Summary_Area_m2,Summary_Add_ID,Summary_Publishing_Date,Summary_Price_EGP,Summary_Seller_Type,Summary_Price_P_M
"شقه للبيع
El Haram, Greater Cairo
140 M² 3 1
670,000 EGP",https://aqarmap.com.eg/en/listing/3133612-for-sale-cairo-el-haram,4,3,1,140 M²,EG-3133612,5/1/2022,"670,000 EGP",Property Owner,"4,786 EGP/M²"
"شقه دور ارضي بتطل علي واجهتين
Katameya Creeks, Compounds in New Cairo
110 M² 2 1
770,000 EGP",https://aqarmap.com.eg/en/listing/3133611-for-sale-cairo-new-cairo-compounds-qtmy-jryks,2,1,110 M²,EG-3133611,5/1/2022,"770,000 EGP",Property Owner,شقه دور ارضي بتطل علي واجهتين,
"شقة للبيع في الهرم شارع الثلاثيني الجديد
El Haram, Greater Cairo
165 M² 3 2
720,000 EGP",https://aqarmap.com.eg/en/listing/3133606-for-sale-cairo-el-haram,9,3,2,165 M²,EG-3133606,5/1/2022,"720,000 EGP",Property Owner,"4,364 EGP/M²"
"شقة للبيع بمدينه نصر بشارع مصطفى النحاس
Nasr City, Greater Cairo
130 M² 2 1
650,000 EGP",https://aqarmap.com.eg/en/listing/3133605-for-sale-cairo-nasr-city,4,2,1,130 M²,EG-3133605,5/1/2022,"650,000 EGP",Property Owner,"5,000 EGP/M²"
"شقة 240 متر في كمبوند هاي لاند بارك سوبر لوكس باسانسير فيو حمامات سباحة
High Land Park, Compounds in New Cairo
240 M² 4 3
3,000,000 EGP",https://aqarmap.com.eg/en/listing/3133587-for-sale-cairo-new-cairo-compounds-high-land-park,1,4,3,2015,SUPER_LUX,Garden,240 M²,شقة 240 متر في كمبوند هاي لاند بارك سوبر لوكس باسانسير فيو حمامات سباحة,5/1/2022
"شقه للبيع بزهراء مدينة نصر خلف مخازن السلاب
Nasr City, Greater Cairo
145 M² 2 2
320,000 EGP",https://aqarmap.com.eg/en/listing/3133598-for-sale-cairo-nasr-city,10,2,2,145 M²,EG-3133598,5/1/2022,"320,000 EGP",Property Owner,"2,207 EGP/M²"
"شقه دور ارضى بمحلين واخد ناصيه للبيع بسعر لقطه
Helwan, Greater Cairo
70 M² 2 1
400,000 EGP",https://aqarmap.com.eg/en/listing/3133596-for-sale-cairo-helwan,2,1,70 M²,EG-3133596,5/1/2022,"400,000 EGP",Property Owner,"5,714 EGP/M²",
"Apartments For sale in Beverly Hills
بيفرلي هيلز, كمبوند بالشيخ زايد
180 M² 3 2
2,500,000 EGP",https://aqarmap.com.eg/en/listing/3133584-for-sale-cairo-el-sheikh-zayed-city-compounds-in-sheikh-zayed-beverly-hills,3,3,2,2015,SUPER_LUX,Main Street,180 M²,Apartments For sale in Beverly Hills,5/1/2022
"شقة 150 متر + جاردن 40 متر في كمبوند ريماس سوبر لوكس دبل فيس بحري حمام سباحة مشترك بحصة جراج وغاز طبيعي
Remas, Compounds in New Cairo
150 M² 3 2
1,900,000 EGP",https://aqarmap.com.eg/en/listing/3133577-for-sale-cairo-new-cairo-compounds-remas,Ground,3,2,2015,SUPER_LUX,Side Street,150 M²,شقة 150 متر + جاردن 40 متر في كمبوند ريماس سوبر لوكس دبل فيس بحري حمام سباحة مشترك بحصة جراج وغاز طبيعي,5/1/2022
"Roof For sale in El Yasmeen 6
الياسمين 6, الياسمين
410 M² 4 2
1,800,000 EGP",https://aqarmap.com.eg/en/listing/3133571-for-sale-cairo-new-cairo-el-yassamin-el-yasmeen-6,3,4,2,2019,WITHOUT_FINISH,Side Street,410 M²,Roof For sale in El Yasmeen 6,5/1/2022
"‏Apartment for sale for high-end housing in Maadi Sarayat 250m
Oraby St., Sarayat El Maadi
250 M² 3 3
3,000,000 EGP",https://aqarmap.com.eg/en/listing/3133563-for-sale-cairo-el-maadi-sarayat-el-maadi-oraby-st,7,3,3,2006,SUPER_LUX,Garden,250 M²,‏Apartment for sale for high-end housing in Maadi Sarayat 250m,5/1/2022
"Apartments For sale in Faisal
فيصل, فيصل
150 M² 3 1
600,000 EGP",https://aqarmap.com.eg/en/listing/3133557-for-sale-cairo-faisal-faisal,9,3,1,2013,SUPER_LUX,Corner,150 M²,EG-3133557,5/1/2022
"Apartments For sale in Tersa / Khatem El Morsalin St
شارع خاتم المرسلين / ترسا, الهرم
150 M² 3 2
600,000 EGP",https://aqarmap.com.eg/en/listing/3133547-for-sale-cairo-el-haram-shareaa-khatem-el-morsalen,3,3,2,2008,SEMI_FINISHED,Corner,150 M²,EG-3133547,5/1/2022
"Penthouse For sale in El-Madina St.
شارع المدينه, النزهة الجديدة
600 M² 4 4
3,000,000 EGP",https://aqarmap.com.eg/en/listing/3133551-for-sale-cairo-heliopolis-elnozha-elgedidah-el-madina-st,6,4,4,1995,SUPER_LUX,Corner,600 M²,Penthouse For sale in El-Madina St.,5/1/2022
"featured
Apartments For sale in Sixth Zone Buildings
المنطقه السادسه عمارات, مدينتي
138 M² 3 2
1,750,000 EGP",https://aqarmap.com.eg/en/listing/3133549-for-sale-cairo-mdynty-sixth-zone-buildings,3,3,2,2014,SUPER_LUX,Garden,138 M²,Apartments For sale in Sixth Zone Buildings,5/1/2022
"featured
Apartments For sale in Neighbourhood 4
المجاوره الرابعه, حي الفيروز - الحي الثالث غرب
150 M² 3 2
830,000 EGP",https://aqarmap.com.eg/en/listing/3133536-for-sale-mdyn-lshrwq-hai-el-fayrouz-third-neighborhood-west-neighbourhood-4,1,3,2,2020,SEMI_FINISHED,Back,150 M²,Apartments For sale in Neighbourhood 4,5/1/2022
"شقة 125م البوابه الاولي شارع جاردينيا
Giza Square, South El Jizah District
125 M² 3 2
590,000 EGP",https://aqarmap.com.eg/en/listing/3133555-for-sale-cairo-hy-jnwb-ljyz-el-giza-square,3,3,2,125 M²,EG-3133555,5/1/2022,"590,000 EGP",Property Owner,"4,720 EGP/M²"
"Apartments For sale in The Second Area - Lotus North
المنطقة الثانية - اللوتس الشمالية, اللوتس الشماليه
140 M² 3 2
1,050,000 EGP",https://aqarmap.com.eg/en/listing/3133543-for-sale-cairo-new-cairo-el-lotus-lotus-south-lmntq-lthny-llwts-lshmly,4,3,2,2020,SEMI_FINISHED,Side Street,140 M²,Apartments For sale in The Second Area - Lotus North,5/1/2022
"Apartments For sale in The Second Area - Lotus North
المنطقة الثانية - اللوتس الشمالية, اللوتس الشماليه
170 M² 3 2
1,360,000 EGP",https://aqarmap.com.eg/en/listing/3133541-for-sale-cairo-new-cairo-el-lotus-lotus-south-lmntq-lthny-llwts-lshmly,4,3,2,2020,SEMI_FINISHED,Side Street,170 M²,Apartments For sale in The Second Area - Lotus North,5/1/2022
"Apartment with Garden For sale in Sixth Zone Buildings
المنطقه السادسه عمارات, مدينتي
120 M² 3 2
1,950,000 EGP",https://aqarmap.com.eg/en/listing/3133538-for-sale-cairo-mdynty-sixth-zone-buildings,1,3,2,2014,EXTRA_SUPER_LUX,Garden,120 M²,Apartment with Garden For sale in Sixth Zone Buildings,5/1/2022
"كمبوند لاروز2
Compounds In New Cairo, Compounds in New Cairo
150 M² 3 2
1,000,000 EGP",https://aqarmap.com.eg/en/listing/3130235-for-sale-cairo-new-cairo-compounds-la-rose,4,3,2,2019,SEMI_FINISHED,Main Street,150 M²,كمبوند لاروز2,5/1/2022
"بتسهيلات فى الدفع على سنتين ڨيلا ترابل بحدائق الاهرام 530م
Giza Square, South El Jizah District
530 M² 3 3
27,000,000 EGP",https://aqarmap.com.eg/en/listing/3133534-for-sale-cairo-hy-jnwb-ljyz-el-giza-square,3,3,3,530 M²,EG-3133534,5/1/2022,"27,000,000 EGP",Property Owner,"50,943 EGP/M²"
"Studio in Beta Gardens Compound
Giza Square, South El Jizah District
55 M² 1 1
620,000 EGP",https://aqarmap.com.eg/en/listing/3133531-for-sale-cairo-hy-jnwb-ljyz-el-giza-square,1,1,55 M²,EG-3133531,5/1/2022,"620,000 EGP",Property Owner,"11,273 EGP/M²",
"فيلا 500متر بحديقه خاصه من المالك
Giza Square, South El Jizah District
500 M² 3 4
1,700,000 EGP",https://aqarmap.com.eg/en/listing/3133530-for-sale-cairo-hy-jnwb-ljyz-el-giza-square,1,3,4,500 M²,EG-3133530,5/1/2022,"1,700,000 EGP",Property Owner,"3,400 EGP/M²"
"Apartments For sale in Street 33
شارع 33, المنطقة السابعة
135 M² 3 2
850,000 EGP",https://aqarmap.com.eg/en/listing/3132685-for-sale-cairo-maadi-ring-road-medium-plateau-7th-zone-street-33,3,3,2,2013,SEMI_FINISHED,Main Street,135 M²,Apartments For sale in Street 33,5/1/2022
"Apartment 171 sqm with 0% DP installments over 10 years
Badya
171 M² 3 3
2,600,000 EGP",https://aqarmap.com.eg/en/listing/3133514-for-sale-cairo-6th-of-october-compound-badya,3,3,3,2024,SEMI_FINISHED,Garden,171 M²,Apartment 171 sqm with 0% DP installments over 10 years,5/1/2022
"شقة لقطة للبيع... المريوطيه فيصل
El-Madina El-Monawarra St., El Mariotia
110 M² 3 1
350,000 EGP",https://aqarmap.com.eg/en/listing/3133510-for-sale-cairo-faisal-el-maryotyah-el-madina-el-monawarra-st,8,3,1,2014,LUX,Main Street,110 M²,شقة لقطة للبيع... المريوطيه فيصل,5/1/2022
"Apartment prime location with 193k DP installments over 9 years
أو ويست أوراسكوم, كمبوند في ٦ اكتوبر
147 M² 3 3
3,867,000 EGP",https://aqarmap.com.eg/en/listing/3133508-for-sale-cairo-6th-of-october-compounds-w-wyst-wrskwm,2,3,3,2024,SUPER_LUX,Garden,147 M²,Apartment prime location with 193k DP installments over 9 years,5/1/2022
"شقه ١٨٠ متر على ش اللبينى الرئيسى عماره حديثه
Faisal, Greater Cairo
180 M² 3 3
625,000 EGP",https://aqarmap.com.eg/en/listing/3133515-for-sale-cairo-faisal,2,3,3,180 M²,EG-3133515,5/1/2022,"625,000 EGP",Property Owner,"3,472 EGP/M²"
"شقة بالعجوزة
El Agouza, Greater Cairo
110 M² 2 1
1,350,000 EGP",https://aqarmap.com.eg/en/listing/3133512-for-sale-cairo-el-agouza,4,2,1,110 M²,EG-3133512,5/1/2022,"1,350,000 EGP",Property Owner,"12,273 EGP/M²"
"Apartments For sale in OIA Compound - Edge Holding
كمبوند اويا - ايدج هولدينج, R7
222 M² 4 3
2,830,500 EGP",https://aqarmap.com.eg/en/listing/3133498-for-sale-cairo-new-administrative-capital-r7-oia,5,4,3,2022,SEMI_FINISHED,Garden,222 M²,Apartments For sale in OIA Compound - Edge Holding,5/1/2022
"Apartments For sale in OIA Compound - Edge Holding
كمبوند اويا - ايدج هولدينج, R7
165 M² 3 3
2,100,000 EGP",https://aqarmap.com.eg/en/listing/3133411-for-sale-cairo-new-administrative-capital-r7-oia,5,3,3,2022,SEMI_FINISHED,Garden,165 M²,Apartments For sale in OIA Compound - Edge Holding,5/1/2022
"featured
Apartments For sale in Ibn El Haytham St.
شارع إبن الهيثم, المنطقة الأولى
250 M² 3 2
2,500,000 EGP",https://aqarmap.com.eg/en/listing/3133463-for-sale-cairo-nasr-city-1st-zone-ibn-el-haytham-st,3,3,2,2010,LUX,Main Street,250 M²,Apartments For sale in Ibn El Haytham St.,5/1/2022
"Apartments For sale in OIA Compound - Edge Holding
كمبوند اويا - ايدج هولدينج, R7
165 M² 3 3
2,100,000 EGP",https://aqarmap.com.eg/en/listing/3133481-for-sale-cairo-new-administrative-capital-r7-oia,3,3,3,2022,WITHOUT_FINISH,Main Street,165 M²,Apartments For sale in OIA Compound - Edge Holding,5/1/2022
"Apartment 3 Bedrooms with free green terrace with installments
دي جويا 3 - تاج مصر, كمبوند بالعاصمة الادارية الجديدة
157 M² 3 2
2,200,000 EGP",https://aqarmap.com.eg/en/listing/3133457-for-sale-cairo-new-administrative-capital-new-capital-compounds-dy-jwy-3-tj-msr,2,3,2,2023,SEMI_FINISHED,Garden,157 M²,Apartment 3 Bedrooms with free green terrace with installments,5/1/2022
"شقه للبيع
Tersa / Khatem El Morsalin St, El Haram
130 M² 3 1
400,000 EGP",https://aqarmap.com.eg/en/listing/3133492-for-sale-cairo-el-haram-shareaa-khatem-el-morsalen,8,3,1,130 M²,EG-3133492,5/1/2022,"400,000 EGP",Property Owner,"3,077 EGP/M²"
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
206 M² 4 3
1,553,000 EGP",https://aqarmap.com.eg/en/listing/3133460-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis,Ground,4,3,2022,SEMI_FINISHED,Main Street,206 M²,EG-3133460,5/1/2022
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
177 M² 3 3
1,545,000 EGP",https://aqarmap.com.eg/en/listing/3133469-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis,1,3,3,2022,SEMI_FINISHED,Main Street,177 M²,EG-3133469,5/1/2022
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
178 M² 3 3
1,350,000 EGP",https://aqarmap.com.eg/en/listing/3133454-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis,Ground,3,3,2022,SEMI_FINISHED,Main Street,178 M²,EG-3133454,5/1/2022
"Apartments For sale in North Rehab
شمال الرحاب, القاهرة الجديدة - التجمع الخامس
155 M² 3 2
1,900,000 EGP",https://aqarmap.com.eg/en/listing/3133445-for-sale-cairo-new-cairo-north-rehab,3,3,2,2013,SUPER_LUX,Side Street,155 M²,EG-3133445,5/1/2022
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
178 M² 3 3
1,350,000 EGP",https://aqarmap.com.eg/en/listing/3133440-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis,Ground,3,3,2022,SEMI_FINISHED,Main Street,178 M²,EG-3133440,5/1/2022
"Duplex For sale in Sphinx Square
ميدان سفنكس, المهندسين
265 M² 3 3
2,900,000 EGP",https://aqarmap.com.eg/en/listing/3133347-for-sale-cairo-el-mohandesen-sphinx-square,7,3,3,1990,SUPER_LUX,Back,265 M²,EG-3133347,5/1/2022
"شقه في حي القرنفل
Sekat Al Waili St., Abdou Basha
130 M² 3 2
1,300,000 EGP",https://aqarmap.com.eg/en/listing/3133480-for-sale-cairo-el-abbasiya-abdou-basha-sekat-al-waili-st,2,3,2,130 M²,EG-3133480,5/1/2022,"1,300,000 EGP",شقه في حي القرنفل,"10,000 EGP/M²"
"Apartment 222 Meter for immediate delivery in the new capital
New Administrative Capital R7
222 M² 4 3
2,830,000 EGP",https://aqarmap.com.eg/en/listing/3133383-for-sale-cairo-new-administrative-capital-r7-oia,4,4,3,2022,SEMI_FINISHED,Garden,222 M²,Apartment 222 Meter for immediate delivery in the new capital,5/1/2022
"Duplex For sale in The 2000 Pieces
حي 2000 قطعة, التوسعات الشمالية
300 M² 4 3
1,250,000 EGP",https://aqarmap.com.eg/en/listing/3133394-for-sale-cairo-6th-of-october-el-tawsaat-el-shamalya-hy-2000-qt,1,4,3,2020,SEMI_FINISHED,Main Street,300 M²,Duplex For sale in The 2000 Pieces,5/1/2022
"Duplex fully finished with kitchen with installments
كمبوند مونتي نابوليوني - ريبورتاج العقارية, كمبوند بمدينة المستقبل
133 M² 2 2
1,533,000 EGP",https://aqarmap.com.eg/en/listing/3133416-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-kmbwnd-mwnty-nbwlywny-rybwrtj-l-qry,6,2,2,2025,EXTRA_SUPER_LUX,Garden,133 M²,Duplex fully finished with kitchen with installments,5/1/2022
"an excellent disc 185m for sale in oia compound in r7 new capital delivery 2022
العاصمة الادارية الجديدة r7
185 M² 3 3
2,358,750 EGP",https://aqarmap.com.eg/en/listing/3133312-for-sale-cairo-new-administrative-capital-r7-oia,5,3,3,2022,SEMI_FINISHED,Garden,185 M²,an excellent disc 185m for sale in oia compound in r7 new capital delivery 2022,5/1/2022
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
150 M² 3 2
1,138,000 EGP",https://aqarmap.com.eg/en/listing/3133436-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis,Ground,3,2,2022,SEMI_FINISHED,Main Street,150 M²,EG-3133436,5/1/2022
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
209 M² 4 3
1,732,000 EGP",https://aqarmap.com.eg/en/listing/3133427-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis,Ground,4,3,2022,SEMI_FINISHED,Main Street,209 M²,EG-3133427,5/1/2022
"Apartments For sale in OIA Compound - Edge Holding
كمبوند اويا - ايدج هولدينج, R7
222 M² 4 3
2,830,500 EGP",https://aqarmap.com.eg/en/listing/3133392-for-sale-cairo-new-administrative-capital-r7-oia,5,4,3,2022,SEMI_FINISHED,Corner,222 M²,Apartments For sale in OIA Compound - Edge Holding,5/1/2022
"Duplex For sale in The 2000 Pieces
حي 2000 قطعة, التوسعات الشمالية
280 M² 4 3
720,000 EGP",https://aqarmap.com.eg/en/listing/3133141-for-sale-cairo-6th-of-october-el-tawsaat-el-shamalya-hy-2000-qt,1,4,3,2021,SEMI_FINISHED,Main Street,280 M²,Duplex For sale in The 2000 Pieces,5/1/2022
